Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
28-Aug-23,EQ,"3,349.95","3,364.95","3,334.00","3,341.15","3,342.00","3,348.35","3,354.11","3,889.65","2,836.00","3,29,661","1,10,57,18,341.50","25,001"
29-Aug-23,EQ,"3,360.00","3,370.00","3,348.45","3,348.35","3,355.00","3,355.35","3,359.15","3,889.65","2,836.00","2,71,577","91,22,66,927.60","22,211"
30-Aug-23,EQ,"3,368.00","3,412.00","3,356.50","3,355.35","3,396.95","3,405.75","3,394.78","3,889.65","2,836.00","9,03,102","3,06,58,28,417.95","54,412"
31-Aug-23,EQ,"3,410.00","3,410.00","3,322.00","3,405.75","3,341.00","3,336.60","3,355.60","3,889.65","2,836.00","8,35,737","2,80,43,98,446.00","49,977"
1-Sep-23,EQ,"3,350.00","3,406.45","3,322.10","3,336.60","3,402.00","3,400.40","3,366.68","3,889.65","2,836.00","6,91,510","2,32,80,96,100.60","54,367"
4-Sep-23,EQ,"3,430.00","3,461.00","3,410.25","3,400.40","3,426.00","3,434.15","3,433.73","3,889.65","2,836.00","6,61,736","2,27,22,21,870.65","49,144"
5-Sep-23,EQ,"3,434.15","3,444.00","3,396.50","3,434.15","3,408.95","3,403.45","3,416.27","3,889.65","2,836.00","3,74,902","1,28,07,66,854.50","39,938"
6-Sep-23,EQ,"3,415.00","3,417.10","3,375.00","3,403.45","3,390.00","3,391.30","3,394.19","3,889.65","2,836.00","4,31,090","1,46,31,99,221.80","32,794"
7-Sep-23,EQ,"3,390.00","3,411.95","3,375.00","3,391.30","3,397.40","3,402.45","3,397.56","3,889.65","2,836.00","3,34,700","1,13,71,62,423.05","31,190"
8-Sep-23,EQ,"3,403.00","3,406.35","3,366.10","3,402.45","3,371.70","3,370.90","3,379.94","3,889.65","2,836.00","4,48,502","1,51,59,09,830.95","38,955"
11-Sep-23,EQ,"3,377.00","3,409.90","3,363.00","3,370.90","3,404.50","3,404.50","3,384.09","3,889.65","2,836.00","5,44,361","1,84,21,65,654.70","41,990"
12-Sep-23,EQ,"3,410.00","3,414.95","3,320.70","3,404.50","3,340.10","3,341.25","3,358.62","3,889.65","2,836.00","4,46,513","1,49,96,69,102.35","38,455"
13-Sep-23,EQ,"3,349.95","3,369.90","3,308.00","3,341.25","3,322.00","3,320.30","3,330.94","3,889.65","2,836.00","8,20,181","2,73,19,77,290.50","36,687"
14-Sep-23,EQ,"3,335.00","3,385.00","3,325.10","3,320.30","3,383.00","3,381.40","3,367.07","3,889.65","2,836.00","4,36,335","1,46,91,68,460.10","49,574"
